Group,Date,Week,Week of Project,PSA_MY_N,PSA_BL_N,PSA_CH_N,nScans,PSA_MY_perc,PSA_BL_perc,PSA_CH_perc
R4,03/25/2014,8,63,0,0,1,17,0,0,6
R4,04/07/2014,9,64,0,0,0,19,0,0,0
R4,04/08/2014,9,64,4,0,0,18,22,0,0
R4,04/09/2014,9,64,1,0,0,21,5,0,0
R4,04/10/2014,9,64,0,0,0,23,0,0,0
R4,04/11/2014,9,64,0,0,0,24,0,0,0
R4,04/12/2014,9,64,0,0,0,20,0,0,0
R4,04/13/2014,9,64,2,0,0,24,8,0,0
R4,04/14/2014,9,64,9,0,0,22,41,0,0
R4,04/15/2014,9,64,10,0,0,17,59,0,0
R4,04/16/2014,9,64,6,0,0,17,35,0,0
R4,05/05/2014,10,65,0,0,0,7,0,0,0
R4,05/06/2014,10,65,0,0,0,23,0,0,0
R4,05/07/2014,10,65,8,0,0,18,44,0,0
R4,05/08/2014,10,65,0,0,0,24,0,0,0
R4,05/09/2014,10,65,9,0,0,19,47,0,0
R4,05/10/2014,10,65,0,0,0,16,0,0,0
R4,05/11/2014,10,65,0,0,0,23,0,0,0
R4,05/12/2014,10,65,10,0,0,17,59,0,0
R4,05/13/2014,10,65,13,0,0,23,57,0,0
R4,05/14/2014,10,65,0,0,0,20,0,0,0
R4,06/11/2014,11,66,1,0,0,8,13,0,0
R4,06/12/2014,11,66,0,0,0,20,0,0,0
R4,06/13/2014,11,66,0,0,0,23,0,0,0
R4,06/14/2014,11,66,8,0,0,24,33,0,0
R4,06/15/2014,11,66,1,0,0,20,5,0,0
R4,06/16/2014,11,66,0,0,0,23,0,0,0
R4,06/17/2014,11,66,0,0,0,22,0,0,0
R4,06/18/2014,11,66,0,0,0,23,0,0,0
R4,06/19/2014,11,66,0,0,0,22,0,0,0
R4,06/20/2014,11,66,0,0,0,20,0,0,0
R4,07/09/2014,12,67,0,0,0,7,0,0,0
R4,07/10/2014,12,67,0,0,0,23,0,0,0
