Group,WoP,Date,Time start,Number of Calls WITHIN,Call Type 1,Call Type 2,Context 1,Context 2,Number of Calls OUTSIDE,Eagle,Non-Alarm,unknown
R5,32,02/23/2012,09:26,1,Pop,,Eagle alarm,,,1,0,0
R5,32,02/23/2012,,1,Pop,,Eagle alarm,,,1,0,0
R5,33,03/04/2012,10:43,1,Pop,,Calls from another monkey species,,,0,1,0
R5,34,03/07/2012,10:23,1,Pop,,Eagle alarm,,,1,0,0
R5,34,03/07/2012,17:47,2,Pop,,Calls from another monkey species,,,0,1,0
R5,34,03/08/2012,13:26,1,Pop,,Tree/branch fall,,,0,1,0
R5,34,03/09/2012,08:17,1,Pop,,Calls from another monkey species,,,0,1,0
R5,34,03/09/2012,08:58,1,Pop,,Eagle alarm,,,1,0,0
R5,34,03/09/2012,09:04,1,Pop,,Eagle alarm,,,1,0,0
R5,34,03/10/2012,07:51,1,Pop,,Eagle alarm,,,1,0,0
R5,34,03/10/2012,07:52,2,Pop,Pop,Calls from another monkey species,Call came NW.,,0,1,0
R5,34,03/10/2012,11:46,2,Pop,,Eagle alarm,,,1,0,0
R5,34,03/10/2012,17:47,2,Pop,,Eagle alarm,,,1,0,0
R5,34,03/11/2012,11:55,1,Pop,,Calls from another monkey species,,,0,1,0
R5,34,03/11/2012,12:15,2,Pop,,Calls from another monkey species,,,0,1,0
R5,34,03/12/2012,09:22,2,Pop,,Calls from another monkey species,,,0,1,0
R5,34,03/12/2012,13:27,1,Pop,,No context,,,0,1,0
R5,34,03/13/2012,11:37,1,Pop,,Calls from another monkey species,,,0,1,0
R5,34,03/13/2012,15:26,2,Pop,Pop,Calls from another monkey species,The call came from the North.,,0,1,0
R5,34,03/13/2012,15:26,1,Pop,,Calls from another monkey species,,,0,1,0
R5,34,03/14/2012,,1,Pop,,Calls from a bird,,,0,1,0
R5,36,03/29/2012,17:40,1,Pop,,Tree/branch fall,,,0,1,0
R5,36,03/30/2012,09:22,1,Pop,,Calls from another monkey species,,,0,1,0
R5,36,03/30/2012,17:05,2,Pop,,Eagle alarm,,,1,0,0
R5,36,03/31/2012,14:13,1,Pop,,Calls from another monkey species,,,0,1,0
R5,36,04/01/2012,09:03,1,Pop,,Calls from another monkey species,,,0,1,0
R5,36,04/01/2012,10:58,1,Pop,,Calls from a bird,,,0,1,0
R5,36,04/01/2012,11:33,2,Pop,,Calls from another monkey species,,,0,1,0
R5,36,04/01/2012,17:49,2,Pop,,Tree/branch fall,,,0,1,0
R5,36,04/02/2012,12:57,1,Pop,,Eagle alarm,,,1,0,0
R5,36,04/02/2012,17:59,2,Pop,,Calls from another monkey species,,,0,1,0
R5,36,04/02/2012,18:17,1,Pop,,Calls from another monkey species,,,0,1,0
R5,36,04/03/2012,08:37,1,Pop,,Calls from a bird,,,0,1,0
R5,36,04/03/2012,16:49,2,Pop,,Calls from another monkey species,,,0,1,0
R5,36,04/04/2012,11:07,1,Pop,,Calls from a bird,,,0,1,0
R5,36,04/04/2012,14:00,1,Pop,,Tree/branch fall,,,0,1,0
R5,36,04/05/2012,15:38,1,Pop,,Calls from another monkey species,,,0,1,0
R5,38,04/16/2012,13:58,1,Pop,,No context,,,0,1,0
R5,38,04/17/2012,09:36,1,Pop,,Tree/branch fall,,,0,1,0
R5,38,04/17/2012,14:13,1,Pop,,Eagle alarm,,,1,0,0
R5,57,10/26/2013,16:09,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,10/26/2013,16:42,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,10/27/2013,08:26,3,Pop,Snake chirps,Calls from a bird,,,0,1,0
R5,57,10/28/2013,07:20,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,10/28/2013,08:56,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,10/28/2013,11:50,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,10/28/2013,12:38,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,10/29/2013,07:48,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,10/29/2013,09:16,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,10/30/2013,11:53,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,10/30/2013,13:57,4,Snake chirps,Ka-train,IGE,,,1,0,0
R5,57,10/30/2013,14:02,2,Pop,Pop,IGE,IGE,1,0,1,0
R5,57,10/30/2013,15:48,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,10/31/2013,09:33,1,Pop,,Unknown,,,0,1,0
R5,57,10/31/2013,13:45,3,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,10/31/2013,16:46,2,Pop,Snake chirps,Calls from a bird,,,0,1,0
R5,57,10/31/2013,22:15,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/01/2013,10:56,2,Pop,Snake chirps,Calls from another monkey species,,,0,1,0
R5,57,11/01/2013,11:17,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/01/2013,11:32,2,Pop,Snake chirps,Calls from a bird,,,0,1,0
R5,57,11/01/2013,16:52,3,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,11/02/2013,09:26,1,Pop,Snake chirps,Tree/branch fall,,,0,1,0
R5,57,11/02/2013,11:26,2,Pop,Snake chirps,Calls from another monkey species,,,0,1,0
R5,57,11/02/2013,16:46,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,11/03/2013,09:34,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/03/2013,10:21,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/03/2013,13:09,3,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/03/2013,16:43,1,Pop,,Tree/branch fall,,,0,1,0
R5,57,11/03/2013,17:54,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/04/2013,12:00,2,Pop,,Calls from another monkey species,,,0,1,0
